seed_a,seed_b,palavras_a,palavras_b,p_valor,tam_efeito,bias_entity,bias_entity1,seed_x,seed_y,metodo
péssimo,ótimo,mau equivocado deprimido adiantado isento contente comprometido preconceituoso infeliz farto injusto,excelente destacado interessante melhor melhorado lindo unico excepcional talentoso inovador bacana,0.17142857142857143,1.0675178764522606,0.1122431600520157,0.01180348575040907,dilma,marina,weat
ruim,bom,ruim confuso esquisito frustrante pior decepcionante triste confusa infeliz errado dificil,bom certo lindo justo adequado destacado sincero tremendo calmo verdadeiro modesto,0.02857142857142857,1.8090421653793038,0.07978394872563666,-0.05547527443477217,dilma,marina,weat
imoral,moral,preconceituoso injusto injusta indecente racista inocente desonesto cruel arrogante perverso,honestidade disciplina conduta dignidade civilidade humildade intelectual austeridade doutrina existencial,0.8571428571428571,0.16280428302334604,-0.0028728880939872525,-0.008673532652726926,dilma,marina,weat
inaceitável,aceitável,injusto injusta inconstitucional racista preconceituoso indecente ilegal moralmente insulto impotente oportunista,conveniente consensual adequado apropriada sensato coerente consistente apropriado adequada relevante interessante,0.02857142857142857,1.4975212084255045,0.13599597433619534,0.001471671475949038,dilma,marina,weat
déficit,superávit,endividamento desemprego incremento esvaziamento desconforto estresse agravamento crescimento excesso congestionamento,faturamento iene financeiro adiantamento embargo empreendimento importador contribuinte mercado comprador,0.11428571428571428,-1.2071599592884081,0.15057703648338094,0.20922542204972416,dilma,marina,weat
estagnação,desenvolvimento,instabilidade crise prosperidade derrocada debilidade estabilidade conjuntura estiagem euforia ruptura desordem,desenvolvimento crescimento aprimoramento progresso fortalecimento planejamento enriquecimento aprendizado surgimento manejo fomento,0.8857142857142857,0.13843975916961768,-0.012157315245131348,-0.019072047775739523,dilma,marina,weat
péssimo,ótimo,mau equivocado deprimido adiantado isento contente comprometido preconceituoso infeliz farto injusto,excelente destacado interessante melhor melhorado lindo unico excepcional talentoso inovador bacana,0.3142857142857143,0.8489256826214783,0.1122431600520157,0.06888568405704805,dilma,serra,weat
ruim,bom,ruim confuso esquisito frustrante pior decepcionante triste confusa infeliz errado dificil,bom certo lindo justo adequado destacado sincero tremendo calmo verdadeiro modesto,0.02857142857142857,1.6646773384072406,0.07978394872563666,0.015141067633563501,dilma,serra,weat
imoral,moral,preconceituoso injusto injusta indecente racista inocente desonesto cruel arrogante perverso,honestidade disciplina conduta dignidade civilidade humildade intelectual austeridade doutrina existencial,0.08571428571428572,-1.2102292321583268,-0.0028728880939872525,0.04100031780033726,dilma,serra,weat
inaceitável,aceitável,injusto injusta inconstitucional racista preconceituoso indecente ilegal moralmente insulto impotente oportunista,conveniente consensual adequado apropriada sensato coerente consistente apropriado adequada relevante interessante,0.2857142857142857,-0.8016649433645062,0.13599597433619534,0.19226313502586936,dilma,serra,weat
