embedding,seed_a,seed_b,palavras_a,palavras_b,p_valor,tam_efeito,bias_entity,bias_entity1,seed_x,seed_y,metodo
1,péssimo,ótimo,mau precário depressivo lamentável equivocado indesejável deprimido desconfortável propagandístico adiantado desastroso isento contente desfavorável incorrecto comprometido ridículo caótico preconceituoso infeliz,excelente óptimo razoável exímio destacado árduo interessante melhor melhorado habilidoso lindo exaustivo unico importantíssimo excepcional talentoso prático inovador dinâmico bacana,0.7428571428571429,-0.2572870908344996,0.23727270479776394,0.2593184230107355,dilma,aécio,weat
1,ruim,bom,ruim horrível confuso desagradável esquisito frustrante pior desconfortável decepcionante vergonhoso triste confusa infeliz cansativo incoerente má inútil agradável medíocre errado lamentável,bom ótimo certo lindo justo meu adequado destacado sincero teu tremendo calmo esse prático verdadeiro modesto extraordinário enciclopédico nosso digno limpo,0.02857142857142857,1.523446139136586,0.1049123166754486,-0.09425612185218457,dilma,aécio,weat
1,imoral,moral,imoral inaceitável hipócrita preconceituoso injusto injusta indecente racista inocente abusivo egoísta desonesto subversivo incesto cruel indesejável inadmissível imprudente passional sodomia tendencioso incompetente,racionalidade honestidade espiritualidade equidade doutrinal disciplina conduta dignidade civilidade humildade discernimento dogmática intelectual austeridade intolerância consciência obediência compaixão opressão transcendência filosófica relativismo,0.37142857142857144,-0.6788017213642616,0.14132021332026726,0.2515533592740088,dilma,aécio,weat
1,inaceitável,aceitável,inaceitável inadmissível imoral injusto lamentável injusta inapropriado ineficaz inconstitucional racista imprudente inevitável hipócrita indecente ilegal indigno moralmente falho insulto impotente proposital oportunista incompetente abusivo subversivo culpada inocente deliberada,compreensível plausível conveniente viável admissível consensual satisfatório razoável confiável correcta adequado recomendável correcto redundante satisfatória apropriada sensato coerente necessário lógico consistente aconselhável credível apropriado adequada relevante interessante possível,0.6,-0.4270876839467878,0.3092246011022308,0.33372180811954083,dilma,aécio,weat
1,déficit,superávit,déficit défice endividamento desemprego débito decréscimo mal-estar incremento esvaziamento desconforto estresse agravamento crescimento excesso prejuízo congestionamento acúmulo esgotamento stress déficits,superávit faturamento iene monopólio bancário entreposto usd financeiro adiantamento embargo empreendimento bilhões bilhão importador trilhão dólar salário contribuinte monetário crédito,0.37142857142857144,-0.6798793438909502,-0.2332273282724521,-0.09762860277891063,dilma,aécio,weat
1,estagnação,desenvolvimento,estagnação recessão instabilidade retração crise decadência hiperinflação turbulência desorganização prosperidade liberalização desaceleração deterioração convulsão paralisação agitação desvalorização derrocada pujança debilidade inflação devastação distensão desagregação anarquia efervescência estabilidade ineficiência intensificação conjuntura estiagem catástrofe insegurança coletivização euforia verticalização radicalização ruptura desordem fragmentação desestabilização lentidão,desenvolvimento crescimento aprimoramento progresso fortalecimento planejamento enriquecimento aperfeiçoamento planeamento aprendizado surgimento manejo avanço fomento incremento florescimento empreendedorismo aproveitamento internacionalização estudo estruturação bem-estar funcionamento consumo integração aparecimento aprofundamento povoamento investimento cultivo envelhecimento sustentabilidade estabelecimento gerenciamento turismo mapeamento repovoamento ressurgimento amadurecimento reflorestamento inovação aumento,0.34285714285714286,0.7224452628683408,0.3371936062579096,0.2117187136720953,dilma,aécio,weat
1,péssimo,ótimo,mau precário depressivo lamentável equivocado indesejável deprimido desconfortável propagandístico adiantado desastroso isento contente desfavorável incorrecto comprometido ridículo caótico preconceituoso infeliz,excelente óptimo razoável exímio destacado árduo interessante melhor melhorado habilidoso lindo exaustivo unico importantíssimo excepcional talentoso prático inovador dinâmico bacana,0.02857142857142857,1.5750583555887638,0.23727270479776394,-0.0311163812596569,dilma,marina,weat
1,ruim,bom,ruim horrível confuso desagradável esquisito frustrante pior desconfortável decepcionante vergonhoso triste confusa infeliz cansativo incoerente má inútil agradável medíocre errado lamentável,bom ótimo certo lindo justo meu adequado destacado sincero teu tremendo calmo esse prático verdadeiro modesto extraordinário enciclopédico nosso digno limpo,0.17142857142857143,1.0288413958223181,0.1049123166754486,0.033414398759656176,dilma,marina,weat
1,imoral,moral,imoral inaceitável hipócrita preconceituoso injusto injusta indecente racista inocente abusivo egoísta desonesto subversivo incesto cruel indesejável inadmissível imprudente passional sodomia tendencioso incompetente,racionalidade honestidade espiritualidade equidade doutrinal disciplina conduta dignidade civilidade humildade discernimento dogmática intelectual austeridade intolerância consciência obediência compaixão opressão transcendência filosófica relativismo,0.08571428571428572,-1.1950165728669357,0.14132021332026726,0.30936224203161183,dilma,marina,weat
1,inaceitável,aceitável,inaceitável inadmissível imoral injusto lamentável injusta inapropriado ineficaz inconstitucional racista imprudente inevitável hipócrita indecente ilegal indigno moralmente falho insulto impotente proposital oportunista incompetente abusivo subversivo culpada inocente deliberada,compreensível plausível conveniente viável admissível consensual satisfatório razoável confiável correcta adequado recomendável correcto redundante satisfatória apropriada sensato coerente necessário lógico consistente aconselhável credível apropriado adequada relevante interessante possível,0.7714285714285715,-0.26367437973900987,0.3092246011022308,0.33159185796998036,dilma,marina,weat
